catalog,capacity,method,run,runtime_ms,value
C1,0,Greedy,0,0.00033294782042503357,0
C1,0,Greedy,1,0.00024994369596242905,0
C1,0,Greedy,2,0.00016600824892520905,0
C1,0,Greedy,3,0.000125030055642128,0
C1,0,Greedy,4,0.00012491364032030106,0
C1,0,DP,0,0.0002919696271419525,0
C1,0,DP,1,0.00016693957149982452,0
C1,0,DP,2,0.0002080341801047325,0
C1,0,DP,3,0.00024994369596242905,0
C1,0,DP,4,0.000208965502679348,0
C1,0,Backtracking,0,0.000625033862888813,0
C1,0,Backtracking,1,0.000250060111284256,0
C1,0,Backtracking,2,0.000208965502679348,0
C1,0,Backtracking,3,0.00016693957149982452,0
C1,0,Backtracking,4,0.00016600824892520905,0
C1,20,Greedy,0,0.004249974153935909,80
C1,20,Greedy,1,0.0020830193534493446,80
C1,20,Greedy,2,0.0018330756574869156,80
C1,20,Greedy,3,0.001750071533024311,80
C1,20,Greedy,4,0.0017919810488820076,80
C1,20,DP,0,0.018040998838841915,105
C1,20,DP,1,0.015959027223289013,105
C1,20,DP,2,0.015375087969005108,105
C1,20,DP,3,0.015042023733258247,105
C1,20,DP,4,0.015083001926541328,105
C1,20,Backtracking,0,0.037792022339999676,105
C1,20,Backtracking,1,0.032291049137711525,105
C1,20,Backtracking,2,0.03170897252857685,105
C1,20,Backtracking,3,0.03166694659739733,105
C1,20,Backtracking,4,0.03175006713718176,105
C1,35,Greedy,0,0.002208980731666088,147
C1,35,Greedy,1,0.0018749851733446121,147
C1,35,Greedy,2,0.0017499551177024841,147
C1,35,Greedy,3,0.0017499551177024841,147
C1,35,Greedy,4,0.001708976924419403,147
C1,35,DP,0,0.02887495793402195,181
C1,35,DP,1,0.02833292819559574,181
C1,35,DP,2,0.02804200630635023,181
C1,35,DP,3,0.02820801455527544,181
C1,35,DP,4,0.028125010430812836,181
C1,35,Backtracking,0,0.037416000850498676,181
C1,35,Backtracking,1,0.03641704097390175,181
C1,35,Backtracking,2,0.0362499849870801,181
C1,35,Backtracking,3,0.0362499849870801,181
C1,35,Backtracking,4,0.036207959055900574,181
C1,50,Greedy,0,0.0020420411601662636,232
C1,50,Greedy,1,0.0019579892978072166,232
C1,50,Greedy,2,0.0018749851733446121,232
C1,50,Greedy,3,0.0018329592421650887,232
C1,50,Greedy,4,0.0017919810488820076,232
C1,50,DP,0,0.043375068344175816,256
C1,50,DP,1,0.042749918065965176,256
C1,50,DP,2,0.04254200030118227,256
C1,50,DP,3,0.04249997437000275,256
C1,50,DP,4,0.042584026232361794,256
C1,50,Backtracking,0,0.02208305522799492,256
C1,50,Backtracking,1,0.02158398274332285,256
C1,50,Backtracking,2,0.022540916688740253,256
C1,50,Backtracking,3,0.021958956494927406,256
C1,50,Backtracking,4,0.02179096918553114,256
C1,65,Greedy,0,0.002291053533554077,282
C1,65,Greedy,1,0.0020420411601662636,282
C1,65,Greedy,2,0.002124928869307041,282
C1,65,Greedy,3,0.005958019755780697,282
C1,65,Greedy,4,0.0019170111045241356,282
C1,65,DP,0,0.058833975344896317,282
C1,65,DP,1,0.05829101428389549,282
C1,65,DP,2,0.05795795004814863,282
C1,65,DP,3,0.057958997786045074,282
C1,65,DP,4,0.060832942835986614,282
C1,65,Backtracking,0,0.01295795664191246,282
C1,65,Backtracking,1,0.012416974641382694,282
C1,65,Backtracking,2,0.012167030945420265,282
C1,65,Backtracking,3,0.012125005014240742,282
C1,65,Backtracking,4,0.012333039194345474,282
C1,80,Greedy,0,0.00200001522898674,282
C1,80,Greedy,1,0.0018749851733446121,282
C1,80,Greedy,2,0.0019170111045241356,282
C1,80,Greedy,3,0.0018749851733446121,282
C1,80,Greedy,4,0.0018749851733446121,282
C1,80,DP,0,0.07349997758865356,282
C1,80,DP,1,0.07316702976822853,282
C1,80,DP,2,0.07312500383704901,282
C1,80,DP,3,0.07291696965694427,282
C1,80,DP,4,0.07554097101092339,282
C1,80,Backtracking,0,0.013625016435980797,282
C1,80,Backtracking,1,0.012334086932241917,282
C1,80,Backtracking,2,0.01283304300159216,282
C1,80,Backtracking,3,0.012499978765845299,282
C1,80,Backtracking,4,0.013666925951838493,282
C1,95,Greedy,0,0.002208980731666088,282
C1,95,Greedy,1,0.002124928869307041,282
C1,95,Greedy,2,0.0019579892978072166,282
C1,95,Greedy,3,0.001834006980061531,282
C1,95,Greedy,4,0.0018329592421650887,282
C1,95,DP,0,0.08841697126626968,282
C1,95,DP,1,0.0881248852238059,282
C1,95,DP,2,0.08820800576359034,282
C1,95,DP,3,0.0879999715834856,282
C1,95,DP,4,0.08812500163912773,282
C1,95,Backtracking,0,0.012583914212882519,282
C1,95,Backtracking,1,0.048083020374178886,282
C1,95,Backtracking,2,0.012208940461277962,282
C1,95,Backtracking,3,0.011999974958598614,282
C1,95,Backtracking,4,0.012040953151881695,282
C1,110,Greedy,0,0.0020829029381275177,282
C1,110,Greedy,1,0.0019170111045241356,282
C1,110,Greedy,2,0.0018749851733446121,282
C1,110,Greedy,3,0.0018749851733446121,282
C1,110,Greedy,4,0.0018749851733446121,282
C1,110,DP,0,0.10362500324845314,282
C1,110,DP,1,0.10591698810458183,282
C1,110,DP,2,0.10366702917963266,282
C1,110,DP,3,0.10308308992534876,282
C1,110,DP,4,0.10329193901270628,282
